China=大陸_,#genre#
Bloomberg(MY),http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/22c37a74f81e457952ba7f5aef92dca8/master.m3u8
CCTV-13 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/b436be97f63e570c1c082d1a7dbb12dc/master.m3u8
華視新聞 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/61c0aa25fb46aa9d395421509031c51c/master.m3u8
台視財經 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/6c43f403dfe550401130bc53ee5fc9f6/master.m3u8
東森財經新聞,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/f8a16638fdb1ba6c81251f0014a14243/master.m3u8
Hongkong=香港_,#genre#
TVB 翡翠 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/3421f5eb10975742a75d3f42e1a9e848/master.m3u8
TVB Plus HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/7f132d501fb9863844ab51697900d494/master.m3u8
TVB 無線新聞,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/409eebbd5daba3009693e9c56a2b75c3/master.m3u8
TVB 明珠 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/39b1071182d7b6f681892eb987ad1057/master.m3u8
Now新聞 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/2d4bce7ecc18a9f1503d928442215c6e/master.m3u8
Now 財經 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/6fd9bf9917a15f4bb611ebab4e7373c9/master.m3u8
Now 直播 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/a6bfcd43b26d35b6839e7e00927f4d37/master.m3u8
RTHK31,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/46dfc024334de6855d7181a10096bf9c/master.m3u8
RTHK32,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/4e5dc24b3e6c9cb8c5a6d51be930507b/master.m3u8
RTHK33,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/665c500a9ac6e2e80d7379307bbf648b/master.m3u8
ViuTV HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/c023187e5a2cac2dc9defbb158ad2072/master.m3u8
ViusixTV HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/ea8c0d5ddc580c08c1a10df61504414d/master.m3u8
HoyTV HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/a0e00e72e0063a23b197b5877c9c04dd/master.m3u8
Hoy資訊 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/35ddc2e2a41f20dd87759003eaa6ed22/master.m3u8
香港國際 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/168b522ed701b8617d3155b19ada9a01/master.m3u8
鳳凰中文 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/721a9cb7a9160c04018ff454d96e3e5b/master.m3u8
鳳凰資訊 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/6962576de51ac8508ee587851df80c91/master.m3u8
鳳凰香港 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/05d251651879c24fab214e587046ad62/master.m3u8
TVB黃金翡翠,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/1ff4001bc38aeb51e02943cebde3d3e9/master.m3u8
TVB亞洲劇,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/8f46a63a06a0c1fb94f58631de1c2c9f/master.m3u8
TVB華語劇,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/e294a1888354abe58284b9cbb4ebf7e3/master.m3u8
